,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,2805,2898,2816,2814,2785,2817,2812,2815,2812,2811,2804,2800,2792,2803,2819,2885,2812,2825,2803,2840,2792,2800,2814,3079,2801,2801,2778,2803,2814,3073,2818,2805,2784,2923,2817,2827,2832,2807,2823,2788,2771,2822,2792,2822,2823,2779,2785,2802,2803,2827
1,2708,2795,2716,2715,2685,2725,2711,2716,2713,2716,2703,2703,2692,2710,2721,2798,2714,2728,2707,2740,2690,2703,2719,2989,2700,2705,2682,2706,2718,2977,2719,2706,2691,2824,2723,2729,2734,2705,2723,2693,2679,2727,2694,2722,2730,2680,2691,2708,2704,2727
2,2795,2872,2804,2802,2775,2819,2796,2803,2810,2802,2798,2791,2776,2797,2805,2877,2804,2813,2796,2830,2780,2791,2807,3062,2783,2794,2771,2797,2800,3035,2805,2790,2782,2892,2809,2815,2829,2785,2797,2775,2766,2815,2779,2807,2818,2774,2776,2795,2797,2814
3,2743,2813,2750,2747,2724,2764,2752,2751,2755,2761,2749,2744,2728,2749,2752,2830,2747,2761,2746,2779,2730,2737,2760,3014,2730,2742,2722,2745,2748,2968,2752,2742,2734,2828,2759,2765,2780,2731,2746,2728,2721,2760,2726,2760,2765,2724,2730,2745,2746,2766
4,2685,2737,2691,2691,2669,2700,2693,2697,2696,2696,2690,2685,2667,2693,2688,2772,2690,2701,2687,2721,2671,2684,2699,2969,2673,2681,2663,2686,2687,2897,2693,2688,2685,2760,2702,2710,2723,2670,2689,2662,2664,2701,2669,2700,2702,2677,2674,2689,2692,2710
5,2681,2719,2691,2689,2666,2695,2693,2694,2695,2692,2684,2681,2660,2692,2682,2767,2686,2700,2687,2718,2672,2678,2701,2967,2669,2680,2669,2681,2684,2874,2688,2690,2684,2745,2704,2706,2717,2665,2689,2656,2664,2700,2669,2699,2702,2675,2675,2686,2688,2712
6,2715,2742,2730,2725,2701,2726,2728,2730,2734,2722,2722,2718,2697,2730,2714,2801,2718,2732,2724,2751,2716,2718,2734,2996,2710,2720,2717,2715,2722,2887,2721,2725,2719,2768,2743,2749,2748,2706,2723,2690,2698,2739,2708,2731,2736,2717,2712,2723,2725,2745
7,2742,2762,2757,2749,2725,2753,2759,2754,2758,2749,2746,2748,2719,2755,2728,2822,2744,2760,2755,2775,2740,2738,2760,3022,2739,2745,2757,2736,2743,2884,2745,2752,2748,2776,2768,2771,2765,2728,2747,2713,2724,2761,2738,2756,2758,2738,2732,2740,2747,2772
8,2829,2845,2847,2839,2812,2840,2849,2840,2845,2826,2832,2838,2809,2842,2816,2898,2835,2845,2846,2854,2832,2827,2849,3103,2828,2838,2867,2824,2828,2947,2830,2835,2828,2855,2851,2862,2845,2819,2839,2803,2815,2850,2833,2848,2839,2831,2818,2827,2843,2860
9,2828,2841,2845,2838,2810,2834,2847,2846,2838,2822,2835,2835,2802,2840,2815,2894,2830,2846,2844,2852,2830,2827,2844,3100,2824,2832,2881,2821,2827,2935,2827,2834,2827,2851,2849,2861,2837,2816,2834,2798,2813,2848,2830,2844,2839,2825,2813,2829,2838,2858
10,2859,2875,2873,2868,2843,2868,2878,2873,2873,2854,2862,2868,2831,2872,2843,2927,2863,2871,2876,2879,2861,2855,2877,3124,2859,2864,2939,2857,2860,2953,2857,2871,2861,2879,2879,2889,2864,2845,2863,2830,2843,2877,2863,2868,2877,2854,2839,2857,2867,2886
11,2742,2764,2757,2749,2720,2747,2758,2762,2751,2734,2744,2751,2712,2753,2731,2824,2748,2753,2761,2757,2741,2738,2760,3018,2739,2744,2866,2739,2743,2837,2736,2754,2735,2755,2766,2771,2747,2728,2745,2711,2724,2768,2748,2749,2765,2732,2713,2742,2755,2770
12,2797,2819,2818,2800,2781,2809,2813,2814,2810,2796,2803,2805,2772,2817,2793,2886,2804,2813,2819,2810,2802,2799,2816,3069,2790,2799,2959,2802,2803,2866,2797,2811,2786,2815,2825,2821,2807,2776,2803,2768,2783,2831,2804,2807,2828,2784,2768,2795,2814,2824
13,2791,2811,2805,2790,2775,2802,2808,2810,2809,2796,2802,2798,2773,2814,2793,2873,2792,2807,2810,2800,2793,2791,2814,3061,2778,2789,2982,2801,2800,2847,2793,2810,2782,2806,2822,2810,2810,2767,2805,2763,2782,2823,2796,2797,2828,2775,2766,2790,2805,2811
14,2823,2832,2832,2811,2806,2827,2839,2840,2838,2832,2833,2831,2802,2842,2823,2899,2816,2838,2836,2833,2831,2821,2836,3089,2806,2817,3043,2836,2829,2861,2824,2839,2816,2840,2852,2832,2838,2785,2830,2791,2818,2851,2826,2828,2862,2802,2795,2822,2840,2841
15,2881,2886,2897,2870,2872,2888,2899,2897,2895,2895,2892,2891,2862,2906,2880,2950,2870,2891,2894,2895,2885,2880,2900,3136,2862,2877,3118,2894,2890,2907,2883,2899,2878,2894,2909,2890,2904,2845,2893,2854,2877,2905,2879,2888,2921,2865,2858,2886,2903,2897
16,2761,2764,2781,2749,2752,2771,2775,2784,2778,2781,2772,2777,2737,2790,2760,2831,2746,2773,2775,2775,2766,2764,2782,3036,2743,2753,3034,2778,2776,2783,2765,2782,2759,2768,2796,2773,2790,2717,2773,2733,2760,2789,2761,2767,2809,2748,2740,2763,2782,2783
17,2761,2756,2778,2749,2752,2766,2770,2777,2777,2780,2770,2776,2736,2787,2756,2824,2744,2770,2774,2780,2771,2759,2782,3027,2740,2757,3036,2775,2771,2765,2767,2782,2771,2761,2792,2773,2790,2723,2768,2731,2759,2795,2762,2762,2805,2754,2740,2763,2787,2780
18,2797,2792,2812,2768,2785,2799,2801,2813,2815,2813,2804,2802,2771,2821,2782,2848,2765,2799,2799,2811,2808,2790,2817,3057,2775,2791,3063,2798,2801,2791,2801,2817,2811,2795,2829,2793,2826,2740,2800,2754,2797,2827,2796,2797,2836,2779,2768,2797,2822,2802
